source_id,strate,population_strate,n_tire,poids_strate
298171,SP1-JTI-CS-,486,53,0.306625
101114815,HORIZON-SESAR-,116,13,0.073186
101140638,HORIZON-JU-Clean-Aviation-,40,15,0.025237
271858,SP1-JTI-CS-,486,53,0.306625
101114805,HORIZON-SESAR-,116,13,0.073186
831751,H2020-CS2-,543,59,0.342587
101286802,HORIZON-SESAR-,116,13,0.073186
270599,SP1-JTI-CS-,486,53,0.306625
323402,SP1-JTI-CS-,486,53,0.306625
755606,H2020-CS2-,543,59,0.342587
278144,SP1-JTI-CS-,486,53,0.306625
101288834,HORIZON-SESAR-,116,13,0.073186
686374,H2020-CS2-,543,59,0.342587
686783,H2020-CS2-,543,59,0.342587
807088,H2020-IBA-CS2-GAMS-,11,11,0.006940
233672,FP7-AAT-,233,26,0.147003
308183,SP1-JTI-CS-,486,53,0.306625
271875,SP1-JTI-CS-,486,53,0.306625
821418,H2020-CS2-,543,59,0.342587
641559,SP1-JTI-CS-,486,53,0.306625
101101955,HORIZON-JU-Clean-Aviation-,40,15,0.025237
680954,H2020-CS2-,543,59,0.342587
255797,SP1-JTI-CS-,486,53,0.306625
999903,JTI-CS-,7,7,0.004416
101007567,H2020-CS2-,543,59,0.342587
255783,SP1-JTI-CS-,486,53,0.306625
737992,H2020-CS2-,543,59,0.342587
323336,SP1-JTI-CS-,486,53,0.306625
101114776,HORIZON-SESAR-,116,13,0.073186
213414,FP7-AAT-,233,26,0.147003
821466,H2020-CS2-,543,59,0.342587
101255537,HORIZON-JU-Clean-Aviation-,40,15,0.025237
314544,FP7-AAT-,233,26,0.147003
820516,H2020-CS2-,543,59,0.342587
892002,H2020-SESAR-,149,16,0.094006
255730,SP1-JTI-CS-,486,53,0.306625
101101946,HORIZON-JU-Clean-Aviation-,40,15,0.025237
101007871,H2020-CS2-,543,59,0.342587
314335,FP7-AAT-,233,26,0.147003
755515,H2020-CS2-,543,59,0.342587
620068,SP1-JTI-CS-,486,53,0.306625
234092,FP7-AAT-,233,26,0.147003
605512,FP7-AAT-,233,26,0.147003
101017626,H2020-SESAR-,149,16,0.094006
641336,SP1-JTI-CS-,486,53,0.306625
945548,H2020-IBA-CS2-GAMS-,11,11,0.006940
886513,H2020-CS2-,543,59,0.342587
101017702,H2020-SESAR-,149,16,0.094006
619992,SP1-JTI-CS-,486,53,0.306625
863418,H2020-CS2-,543,59,0.342587
265416,FP7-AAT-,233,26,0.147003
620094,SP1-JTI-CS-,486,53,0.306625
101101970,HORIZON-JU-Clean-Aviation-,40,15,0.025237
296515,SP1-JTI-CS-,486,53,0.306625
233816,FP7-AAT-,233,26,0.147003
296489,SP1-JTI-CS-,486,53,0.306625
821344,H2020-CS2-,543,59,0.342587
233543,FP7-AAT-,233,26,0.147003
278365,SP1-JTI-CS-,486,53,0.306625
734160,H2020-SESAR-,149,16,0.094006
864911,H2020-CS2-,543,59,0.342587
101288398,HORIZON-SESAR-,116,13,0.073186
255907,SP1-JTI-CS-,486,53,0.306625
101017643,H2020-SESAR-,149,16,0.094006
999906,JTI-CS-,7,7,0.004416
821467,H2020-CS2-,543,59,0.342587
755596,H2020-CS2-,543,59,0.342587
945500,H2020-IBA-CS2-GAMS-,11,11,0.006940
699299,H2020-SESAR-,149,16,0.094006
807097,H2020-IBA-CS2-GAMS-,11,11,0.006940
999901,JTI-CS-,7,7,0.004416
865217,H2020-CS2-,543,59,0.342587
101007948,H2020-CS2-,543,59,0.342587
101287781,HORIZON-SESAR-,116,13,0.073186
267487,SP1-JTI-CS-,486,53,0.306625
716935,H2020-CS2-,543,59,0.342587
763719,H2020-SESAR-,149,16,0.094006
687015,H2020-CS2-,543,59,0.342587
101251523,HORIZON-JU-Clean-Aviation-,40,15,0.025237
234117,FP7-AAT-,233,26,0.147003
783211,H2020-SESAR-,149,16,0.094006
999904,JTI-CS-,7,7,0.004416
821328,H2020-CS2-,543,59,0.342587
323478,SP1-JTI-CS-,486,53,0.306625
287127,SP1-JTI-CS-,486,53,0.306625
785472,H2020-CS2-,543,59,0.342587
864771,H2020-CS2-,543,59,0.342587
687014,H2020-CS2-,543,59,0.342587
101101974,HORIZON-JU-Clean-Aviation-,40,15,0.025237
233805,FP7-AAT-,233,26,0.147003
233772,FP7-AAT-,233,26,0.147003
285681,FP7-AAT-,233,26,0.147003
785407,H2020-CS2-,543,59,0.342587
738039,H2020-CS2-,543,59,0.342587
308914,FP7-AAT-,233,26,0.147003
101288499,HORIZON-SESAR-,116,13,0.073186
271881,SP1-JTI-CS-,486,53,0.306625
